P= 0.100000;
24;1
25;1
26;2
27;1
28;1
30;2
31;2
32;1
35;1
36;1
37;1
39;2
40;1
41;2
42;1
44;2
46;1
48;1
50;1
56;1
57;2
58;1
66;1
69;1
76;2
78;1
89;1
103;1
110;1
113;1
127;1
138;1
157;1
184;1
197;1
227;1
277;1
474;1
606;1
1;669
2;153
3;89
4;45
5;28
6;21
7;12
8;14
9;18
10;13
11;14
12;7
13;5
14;3
15;4
16;4
17;2
18;2
19;1
20;1
21;5
24;1
27;1
29;1
30;1
31;5
33;1
37;1
48;2
51;2
52;1
60;1
61;1
62;1
64;1
68;2
70;1
88;1
90;1
96;1
109;1
112;1
114;1
121;1
127;1
176;1
189;1
255;1
270;1
338;1
544;1
1;665
2;162
3;106
4;38
5;32
6;24
7;19
8;12
9;5
10;9
11;10
12;8
13;5
14;1
15;3
16;4
17;5
19;1
20;1
21;3
22;2
23;2
24;2
25;3
26;1
27;1
28;1
29;1
30;1
32;1
33;3
35;1
36;1
37;1
41;2
42;1
45;2
46;1
48;1
49;2
53;2
59;1
61;1
65;2
71;1
72;1
76;1
80;2
87;1
89;1
103;1
106;1
112;2
116;1
118;1
123;1
125;1
131;1
182;1
249;1
275;1
288;1
1;635
2;123
3;87
4;61
5;35
6;12
7;19
8;15
9;9
10;11
11;7
12;8
13;6
14;6
15;4
16;1
17;4
18;4
20;1
21;1
22;1
24;4
25;1
26;1
29;2
30;3
31;5
36;1
37;1
38;2
40;1
42;1
48;1
49;2
51;2
53;1
58;1
62;1
67;1
69;2
78;1
79;1
80;2
89;1
98;1
111;1
129;1
243;1
269;1
358;1
438;1
931;1
1;683
2;146
3;85
4;59
5;30
6;27
7;12
8;18
9;14
10;11
11;7
12;4
13;7
14;4
15;8
16;3
17;4
18;3
19;1
22;2
23;4
26;2
27;1
28;1
29;1
30;1
31;2
32;1
36;1
38;1
40;1
41;1
42;1
43;2
45;2
58;3
72;1
73;1
75;1
81;2
83;1
92;1
94;1
96;1
101;1
129;1
138;2
148;1
149;1
227;1
326;1
354;1
420;1
1;651
2;139
3;77
4;43
5;37
6;29
7;11
8;9
9;14
10;5
11;7
12;4
13;6
14;5
15;2
17;1
18;3
19;1
20;2
21;1
22;2
23;2
24;2
25;1
26;1
27;2
28;2
29;3
30;1
31;1
32;1
33;1
37;1
39;2
41;2
42;1
43;2
45;1
46;2
47;2
49;1
51;1
52;1
55;1
58;1
59;1
70;1
86;1
101;1
106;2
112;1
113;1
121;1
124;1
126;2
128;2
130;1
142;1
154;1
187;1
213;1
280;1
332;1
1;645
2;160
3;85
4;40
5;33
6;20
7;22
8;22
9;12
10;6
11;9
12;4
13;4
14;5
15;5
16;5
19;1
20;4
21;3
22;4
24;1
25;2
27;2
28;3
29;4
30;1
31;2
32;3
35;2
37;1
38;1
40;1
41;1
42;1
46;3
49;2
52;1
54;1
57;1
58;1
63;2
75;1
83;1
89;1
98;1
107;1
114;1
119;1
126;1
147;1
168;1
175;1
298;1
360;1
408;1
1;650
2;152
3;82
4;54
5;34
6;16
7;18
8;10
9;8
10;5
11;6
12;4
13;9
14;3
15;3
16;4
17;1
18;3
19;4
21;2
22;1
23;2
24;3
25;2
26;3
28;1
29;3
30;2
33;1
35;1
36;1
37;1
38;1
39;2
40;1
42;1
43;1
56;1
58;1
61;1
64;1
67;1
68;1
71;2
75;2
85;1
91;1
105;1
108;1
109;1
141;1
150;1
154;1
165;1
192;1
194;1
330;1
406;1
601;1
1;736
2;156
3;76
4;58
5;45
6;19
7;26
8;14
9;13
10;6
11;11
12;8
13;9
14;5
15;5
16;6
17;1
19;2
20;1
21;4
22;2
23;2
24;2
25;2
26;5
28;5
31;3
33;1
34;2
35;2
40;1
41;1
43;1
50;2
52;1
54;2
56;2
60;1
64;1
68;1
75;1
85;1
92;1
104;1
116;1
121;1
124;1
142;1
144;1
151;1
159;1
170;1
193;1
337;1
1;690
2;154
3;82
4;40
5;25
6;17
7;12
8;9
9;11
10;9
11;4
12;3
13;4
14;1
15;3
16;2
17;1
18;5
19;7
20;1
21;1
24;1
26;3
27;1
28;3
29;1
30;1
31;1
32;2
34;3
35;3
38;1
44;1
50;1
56;1
59;2
62;1
65;1
67;2
69;1
73;1
78;1
81;1
83;2
92;1
94;1
96;1
108;1
113;1
115;1
149;1
161;1
201;1
224;1
580;1
843;1
1;650
2;151
3;92
4;52
5;35
6;18
7;14
8;5
9;13
10;12
11;8
12;5
13;4
14;5
15;2
16;3
17;2
19;7
20;2
21;2
22;2
23;1
24;2
26;1
27;1
29;1
32;1
33;1
36;1
37;1
38;1
39;4
43;2
45;2
47;1
48;2
51;1
58;1
63;1
66;2
71;1
74;1
78;1
85;2
110;2
112;1
128;1
134;1
164;1
227;1
285;1
302;1
322;1
333;1
343;1
1;669
2;156
3;87
4;60
5;25
6;25
7;20
8;17
9;11
10;11
11;10
12;7
13;6
14;4
15;3
16;6
18;4
19;4
20;1
21;3
22;1
23;4
24;2
25;1
26;3
28;1
29;2
30;1
32;1
33;2
34;2
35;1
36;1
37;1
40;1
43;1
45;1
47;1
52;1
54;1
58;1
62;2
65;1
72;1
85;1
105;1
114;1
168;1
175;1
178;1
215;1
234;1
272;1
476;1
480;1
1;667
2;140
3;76
4;64
5;30
6;16
7;12
8;14
9;13
10;9
11;10
12;3
13;8
14;3
15;1
16;4
17;2
18;3
19;2
20;2
21;4
22;1
23;1
24;2
27;1
28;1
31;1
33;2
34;3
36;2
40;2
41;2
42;1
43;1
47;1
48;1
54;1
56;1
58;1
59;2
61;1
62;1
64;1
65;1
69;1
70;1
73;1
75;1
79;2
83;1
90;1
97;1
104;1
112;1
114;1
139;1
148;1
159;1
209;1
243;1
336;1
582;1
1;676
2;173
3;82
4;41
5;40
6;26
7;17
8;11
9;16
10;6
11;5
12;4
13;8
14;5
15;5
16;6
17;4
18;7
19;2
20;8
21;2
22;1
23;2
24;2
25;3
26;1
27;2
28;1
29;2
30;1
31;1
32;1
33;1
35;2
37;1
43;1
47;1
48;1
50;2
51;1
55;1
56;1
57;2
59;1
67;1
85;1
96;1
99;1
103;1
114;1
115;1
123;1
128;1
144;1
183;1
213;1
242;1
274;1
301;1
1;680
2;148
3;79
4;49
5;37
6;16
7;23
8;18
9;9
10;5
11;5
12;2
13;2
14;6
15;5
16;4
17;5
18;4
19;3
20;1
21;3
22;1
23;3
24;2
25;3
26;3
27;2
28;3
29;1
30;2
31;1
32;2
33;3
34;1
36;1
37;2
46;1
47;1
48;1
49;2
50;1
53;1
55;2
58;1
61;1
67;1
70;1
87;1
99;1
105;1
129;1
149;2
165;1
169;1
183;1
229;1
244;1
308;1
313;1
1;679
2;138
3;71
4;44
5;33
6;18
7;15
8;14
9;13
10;9
11;8
12;6
13;5
14;2
15;4
16;2
17;5
18;2
19;6
20;3
21;3
22;2
23;1
24;1
25;1
26;1
29;1
32;1
33;2
36;1
38;1
39;1
44;3
50;1
51;1
57;1
61;1
65;1
67;1
78;1
81;1
82;1
97;1
106;1
108;1
116;1
140;1
204;1
208;1
219;1
227;1
239;1
242;1
266;1
270;1
513;1
1;599
2;157
3;74
4;45
5;29
6;17
7;14
8;14
9;10
10;6
11;9
12;3
13;4
14;4
15;8
16;3
17;2
18;5
19;4
21;1
22;2
23;2
24;2
25;1
27;1
28;4
29;3
30;2
31;1
32;1
33;1
34;3
35;1
36;2
40;2
41;2
42;1
44;1
47;2
58;1
59;1
61;1
63;1
69;1
70;2
72;1
83;1
87;1
100;1
115;1
119;1
121;1
126;1
141;1
155;1
162;1
195;1
201;1
220;1
263;1
305;1
351;1
1;700
2;149
3;64
4;41
5;28
6;28
7;15
8;16
9;7
10;5
11;5
12;5
13;4
14;5
15;2
16;1
17;1
18;1
19;3
20;2
21;4
22;3
23;1
24;3
26;1
28;3
30;1
31;1
32;1
33;3
34;1
35;1
36;2
38;3
44;2
45;1
46;1
48;1
49;1
50;1
51;1
52;1
54;1
57;1
59;2
61;1
68;1
72;1
79;1
81;2
82;1
94;1
115;1
116;1
120;1
127;1
131;1
138;1
188;1
194;1
203;1
239;1
283;1
323;1
1;670
2;136
3;77
4;51
5;38
6;21
7;11
8;15
9;16
10;11
11;8
12;8
13;5
14;4
16;8
18;5
19;2
20;1
21;1
23;1
24;1
26;3
27;2
28;2
29;1
31;1
32;1
34;1
35;3
36;1
40;1
41;1
42;1
44;2
46;1
47;1
48;2
51;1
52;1
53;1
56;1
57;1
58;1
60;1
61;1
63;1
66;1
67;1
68;1
69;1
84;1
90;1
92;1
104;1
105;1
109;1
117;1
133;1
137;1
140;1
143;1
187;1
221;1
226;1
418;1
1;613
2;143
3;79
4;52
5;27
6;23
7;19
8;14
9;17
10;7
11;8
12;2
13;4
14;5
15;6
17;3
18;1
19;4
20;1
21;2
22;1
23;1
24;1
25;1
26;1
27;1
28;4
29;1
30;2
32;1
33;1
34;1
36;1
37;1
40;1
41;1
43;2
45;1
48;1
49;1
51;2
63;1
64;1
69;1
79;1
82;1
84;1
92;1
96;1
100;1
104;1
112;1
118;1
136;1
150;1
202;1
219;1
230;1
233;1
360;1
386;1
410;1
1;672
2;171
3;85
4;54
5;41
6;18
7;17
8;9
9;9
10;7
11;6
12;5
13;3
14;3
15;1
16;3
17;4
18;1
19;3
21;2
23;1
24;1
25;1
26;1
27;1
29;2
31;2
36;2
37;1
38;2
39;1
42;1
43;1
44;1
48;3
49;1
50;1
52;1
53;1
56;1
57;1
60;2
75;1
90;1
91;1
104;1
108;1
119;1
128;1
135;1
136;1
149;1
157;1
168;1
180;1
183;1
331;1
352;1
583;1
1;663
2;138
3;86
4;51
5;30
6;27
7;15
8;8
9;7
10;9
11;8
12;7
13;12
14;3
15;4
16;5
17;5
18;2
19;3
21;2
22;2
25;1
26;2
27;2
28;2
29;1
34;1
35;1
37;1
38;1
39;1
40;2
44;2
45;1
54;1
55;1
59;1
61;2
62;1
63;1
69;1
70;1
83;1
86;1
87;1
89;1
95;1
120;1
122;1
140;1
179;1
228;1
234;1
264;1
276;1
359;1
448;1
1;662
2;154
3;82
4;63
5;29
6;25
7;18
8;10
9;20
10;8
11;3
12;7
13;5
14;7
15;5
16;3
17;6
18;4
19;4
20;2
21;2
22;1
23;1
25;2
26;1
28;1
29;1
30;1
31;3
32;1
34;2
36;1
37;1
38;3
40;3
43;1
44;1
45;1
54;1
56;1
59;1
61;1
62;2
65;1
66;1
68;1
70;1
75;2
76;1
104;1
106;1
110;1
112;1
119;1
127;1
201;1
210;1
246;1
338;1
445;1
1;675
2;167
3;79
4;49
5;34
6;29
7;18
8;10
9;10
10;9
11;11
12;4
13;5
14;1
15;5
16;3
17;3
18;2
19;2
20;5
21;3
22;1
24;1
25;3
26;1
27;2
28;2
29;4
30;2
31;2
32;1
33;2
34;1
36;1
41;1
43;1
47;3
48;1
49;2
50;1
52;1
58;1
66;1
71;1
76;1
82;1
105;1
122;1
129;1
134;1
136;1
148;1
158;1
176;1
251;1
299;1
690;1
1;713
2;135
3;72
4;53
5;37
6;21
7;22
8;20
9;8
10;11
11;5
12;7
13;2
14;5
15;4
16;5
17;1
18;6
20;1
21;3
22;2
23;3
24;1
25;2
26;1
27;1
28;2
29;3
31;3
32;3
33;1
34;1
35;1
36;1
37;1
38;1
39;1
41;1
43;1
45;3
46;1
47;1
48;1
49;1
50;3
51;1
52;2
55;1
56;1
63;1
68;1
73;3
75;1
76;1
78;1
82;1
83;1
97;1
105;1
137;1
155;1
198;1
303;1
356;1
1;704
2;147
3;92
4;48
5;39
6;18
7;15
8;14
9;8
10;10
11;9
12;4
13;4
14;5
15;3
16;5
17;1
18;6
19;1
20;2
21;2
22;1
23;3
24;3
26;2
28;1
29;4
31;2
32;1
34;1
36;2
37;1
39;2
40;1
41;2
43;1
44;1
46;1
47;2
48;1
50;1
52;1
53;2
55;1
56;1
57;1
61;1
63;1
64;1
66;1
68;1
72;1
74;1
80;1
100;1
135;1
137;1
139;1
145;1
150;1
187;2
217;1
389;1
1;577
2;154
3;89
4;45
5;30
6;25
7;25
8;9
9;9
10;3
11;3
12;5
13;2
14;3
15;8
16;1
17;2
18;6
19;4
20;2
21;5
23;2
24;2
25;3
27;3
28;2
29;1
35;4
36;2
42;1
50;1
51;3
54;1
55;1
61;1
64;1
65;1
75;3
78;1
82;1
84;1
91;1
92;1
95;1
103;1
108;1
135;1
188;1
217;1
238;1
291;1
293;1
361;1
644;1
1;590
2;152
3;78
4;55
5;29
6;16
7;13
8;18
9;10
10;8
11;10
12;7
13;6
14;5
15;1
16;3
17;2
18;3
19;4
20;3
21;2
22;6
25;1
27;4
28;1
29;1
30;2
31;3
33;3
35;2
36;2
37;1
38;1
39;1
40;1
41;1
43;1
44;1
47;1
49;1
50;1
54;1
55;1
57;1
62;1
65;1
66;1
68;1
73;1
87;1
90;2
93;1
122;1
130;1
137;1
138;1
155;1
162;1
169;1
273;1
349;1
690;1
1;646
2;146
3;89
4;54
5;35
6;15
7;17
8;15
9;12
10;2
11;6
12;10
13;5
14;3
15;2
16;4
17;3
18;1
19;3
20;4
21;2
22;2
23;2
24;1
25;1
26;2
27;3
28;1
29;1
30;2
31;1
32;1
33;1
35;1
37;1
38;1
41;1
42;3
44;1
46;1
47;1
55;1
56;1
59;1
60;2
62;2
71;1
75;1
83;1
94;1
121;1
145;1
156;1
203;1
207;1
212;1
238;1
359;1
410;1
471;1
1;707
2;171
3;87
4;35
5;42
6;22
7;18
8;12
9;13
10;15
11;5
12;10
13;5
14;6
15;5
16;2
17;1
18;3
19;3
20;2
21;1
22;3
24;1
25;3
27;4
28;1
29;3
30;1
31;2
34;1
35;1
36;1
37;1
38;1
39;1
40;1
41;1
42;1
44;1
45;1
48;1
49;1
54;1
61;2
63;1
67;1
79;1
88;1
94;1
95;1
105;1
111;1
137;1
140;2
155;1
164;1
172;1
186;1
210;1
269;1
1;711
2;175
3;80
4;47
5;22
6;20
7;15
8;15
9;6
10;14
11;10
12;4
13;6
14;3
15;7
16;2
17;2
18;4
19;2
21;4
22;2
23;1
24;1
25;6
26;1
27;3
28;1
30;1
31;2
32;1
34;1
36;2
37;1
38;1
39;2
40;1
41;1
43;2
45;2
52;1
54;1
62;1
64;1
67;1
70;1
73;1
78;1
79;1
80;1
87;1
98;2
108;1
111;1
116;1
121;1
128;1
133;2
134;1
166;1
208;1
316;1
1;704
2;177
3;78
4;49
5;34
6;30
7;18
8;14
9;14
10;11
11;7
12;11
13;6
14;2
15;6
16;2
17;2
18;5
19;4
21;2
22;4
23;3
24;5
25;3
26;1
27;2
29;1
30;2
31;1
32;3
33;1
34;1
35;1
36;1
37;2
40;4
41;1
42;1
47;1
49;1
50;1
51;2
53;1
54;2
55;1
58;1
62;1
63;1
67;1
68;1
69;1
83;2
87;1
96;1
98;2
102;2
106;1
120;1
142;1
151;1
205;1
1;686
2;173
3;87
4;49
5;28
6;20
7;12
8;10
9;6
10;12
11;6
12;6
13;1
14;4
15;5
16;3
17;6
18;4
19;5
20;4
21;2
23;1
25;1
26;1
27;1
28;1
29;2
31;1
32;1
34;1
36;1
37;1
40;1
41;2
43;1
45;1
46;1
50;1
52;1
57;1
61;1
62;1
69;1
70;2
71;1
75;1
82;1
93;2
95;1
105;1
120;1
127;1
129;1
142;1
143;1
152;1
163;1
179;1
199;1
212;1
601;1
1;610
2;129
3;70
4;53
5;28
6;20
7;18
8;13
9;16
10;8
11;2
12;9
13;6
14;3
15;4
16;3
17;4
18;2
19;1
20;6
21;1
22;2
23;6
24;3
25;2
26;2
27;1
30;4
31;3
32;2
34;1
39;1
43;1
46;1
47;1
49;1
50;1
53;1
57;2
74;2
76;1
86;1
88;1
89;1
105;1
116;1
138;1
157;1
159;1
200;1
209;1
223;1
292;1
324;1
328;1
513;1
1;712
2;160
3;84
4;48
5;35
6;20
7;16
8;10
9;10
10;10
11;6
12;7
13;11
14;3
15;3
16;3
17;3
18;2
19;4
20;3
21;1
22;1
23;2
24;1
25;2
26;4
27;2
28;1
33;1
34;1
35;1
37;2
38;2
40;1
42;2
44;1
46;1
47;1
52;1
56;1
58;1
61;1
64;1
67;1
70;1
74;1
84;1
87;1
98;1
100;1
101;1
113;1
150;1
160;1
164;1
223;1
337;1
621;1
1;681
2;157
3;75
4;43
5;33
6;27
7;12
8;8
9;15
10;7
11;8
12;11
13;1
14;6
15;6
16;3
17;3
18;2
19;3
20;2
21;3
22;1
23;2
24;4
25;1
26;2
27;1
28;1
29;3
31;1
32;4
33;2
34;3
35;1
37;4
38;4
41;1
42;2
44;1
45;1
48;1
54;1
57;1
58;1
59;3
60;1
62;1
65;1
68;1
69;1
70;1
78;1
103;1
107;1
126;1
147;1
171;1
189;1
253;1
313;1
436;1
1;617
2;134
3;91
4;55
5;39
6;27
7;20
8;12
9;13
10;7
11;5
12;8
13;5
15;8
16;4
17;3
18;1
19;2
20;5
21;1
22;2
25;1
26;1
27;2
28;2
30;1
31;2
32;2
33;1
35;1
37;1
42;1
43;1
44;1
46;1
47;1
49;1
50;2
52;1
57;1
66;1
75;1
87;1
97;1
98;1
118;1
119;1
121;2
130;2
143;2
157;1
164;1
168;1
169;1
224;1
237;1
278;1
340;1
1;691
2;141
3;77
4;45
5;31
6;26
7;14
8;18
9;11
10;14
11;11
12;2
13;5
14;2
15;3
16;6
17;8
18;1
19;2
20;3
21;4
22;1
23;3
24;2
25;1
32;1
33;3
34;1
35;2
36;1
37;1
41;1
42;3
44;1
46;1
47;1
55;2
59;1
60;1
62;1
67;1
68;1
71;1
72;1
74;1
76;1
83;1
84;1
85;1
93;1
97;1
103;1
111;1
113;1
126;1
148;1
159;1
174;1
185;1
242;1
364;1
1;687
2;164
3;100
4;41
5;31
6;27
7;18
8;11
9;7
10;16
11;4
12;5
13;1
14;3
15;2
16;3
17;3
18;3
20;3
21;1
22;3
23;4
26;3
28;1
30;2
35;1
37;2
38;2
39;1
44;1
51;1
53;1
59;1
61;1
65;1
66;1
69;1
71;2
72;1
74;1
76;1
79;1
86;1
90;1
92;1
106;1
118;1
124;1
131;1
156;1
160;1
204;1
213;1
220;1
327;1
663;1
1;649
2;169
3;67
4;42
5;25
6;23
7;22
8;12
9;5
10;11
11;5
12;7
13;3
14;3
15;2
16;6
17;3
18;5
19;1
20;3
21;1
22;2
23;3
24;6
25;1
26;1
28;1
29;1
31;2
32;1
33;2
34;3
35;1
36;1
38;1
44;1
46;1
48;1
49;1
50;1
59;1
66;1
68;1
73;1
92;1
100;1
102;1
108;1
124;1
137;1
144;1
158;1
180;1
193;1
212;1
246;1
277;1
343;1
482;1
1;638
2;146
3;68
4;54
5;32
6;22
7;14
8;14
9;15
10;7
11;3
12;4
13;2
14;4
15;2
16;3
17;1
18;5
19;2
20;5
21;5
22;1
23;2
24;1
25;2
27;2
28;1
30;1
31;1
32;1
33;1
34;1
36;1
40;1
44;1
47;2
48;1
57;2
58;1
60;2
62;2
63;1
70;1
75;1
78;1
80;2
87;1
90;1
94;1
103;1
105;1
109;1
125;1
164;1
168;1
170;1
203;1
365;1
421;1
485;1
1;658
2;133
3;94
4;53
5;34
6;16
7;25
8;15
9;11
10;5
11;7
12;3
13;3
14;3
15;7
16;5
17;3
18;1
19;3
20;1
21;2
22;2
23;2
24;2
26;1
27;2
28;1
29;1
30;2
31;6
36;1
38;2
39;2
41;1
42;3
45;1
46;1
47;1
48;1
49;1
53;1
54;1
56;1
58;1
59;1
60;1
62;1
71;1
76;2
77;1
79;1
81;2
84;1
85;2
87;1
98;1
119;1
120;1
142;1
158;1
205;1
207;1
208;1
214;1
249;1
1;700
2;157
3;75
4;36
5;39
6;28
7;15
8;20
9;13
10;9
11;8
12;7
13;9
14;6
15;6
16;2
17;2
18;3
19;2
20;2
21;4
22;7
23;1
24;2
25;1
27;2
28;3
29;4
30;1
31;2
32;1
34;1
35;1
36;1
37;2
38;2
39;1
42;1
45;1
48;1
51;1
56;1
61;1
68;1
70;1
80;1
90;1
97;1
100;1
117;1
129;2
140;1
141;1
144;1
170;1
177;1
356;1
378;1
1;691
2;172
3;84
4;54
5;31
6;23
7;17
8;12
9;13
10;9
11;14
12;7
13;1
14;3
15;3
16;4
17;5
18;7
19;6
20;5
21;3
22;3
23;3
24;1
25;3
26;1
27;1
28;3
29;1
30;1
31;1
32;1
33;2
36;1
38;3
39;2
41;2
42;1
46;1
47;1
50;1
51;3
52;1
54;1
55;1
61;1
66;1
85;2
90;1
101;1
113;1
115;1
116;1
118;1
138;1
161;1
163;2
234;1
249;1
1;604
2;143
3;80
4;51
5;31
6;18
7;19
8;8
9;14
10;10
11;6
12;5
13;5
14;5
15;4
16;3
17;2
18;4
19;2
20;2
21;2
22;1
23;3
24;1
25;5
26;2
27;1
29;1
30;1
31;1
32;2
37;1
38;1
41;1
43;1
47;1
48;1
50;1
51;1
53;1
57;1
59;1
61;1
74;1
79;1
83;1
86;1
95;1
102;1
104;1
107;1
112;1
116;2
119;1
125;1
128;1
212;1
313;1
333;1
402;1
531;1
1;665
2;145
3;67
4;49
5;38
6;24
7;20
8;13
9;14
10;6
11;9
12;6
13;5
14;1
15;5
16;3
17;4
18;2
19;2
20;1
21;3
23;1
24;3
26;1
27;2
28;1
30;2
31;3
33;2
36;2
40;2
41;2
42;1
43;2
44;1
46;1
50;2
52;2
54;1
55;1
58;1
64;1
65;1
67;2
69;1
71;1
79;2
87;1
99;1
100;1
103;2
114;1
115;1
117;2
130;1
136;1
191;1
215;1
220;1
310;1
1;608
2;148
3;68
4;40
5;42
6;12
7;19
8;14
9;8
10;13
11;6
12;6
13;1
14;4
15;7
16;3
18;3
19;2
20;2
21;1
22;3
23;2
24;2
25;2
27;1
28;1
30;1
32;2
33;1
34;2
36;1
38;1
40;2
41;2
43;1
44;1
46;1
48;1
51;1
55;1
56;1
63;2
81;1
83;1
85;1
100;1
102;1
103;1
126;1
136;1
142;1
144;1
207;1
305;1
307;1
309;1
343;1
358;1
426;1
1;676
2;136
3;78
4;50
5;35
6;31
7;13
8;14
9;11
10;4
11;10
12;4
13;6
14;3
15;4
16;4
17;3
18;2
19;1
20;2
21;1
22;2
23;2
25;1
27;3
29;1
30;3
31;2
35;2
37;1
38;1
39;3
42;1
47;3
48;1
49;2
53;2
54;2
67;1
69;1
74;1
76;1
80;1
85;1
88;1
99;1
121;1
134;1
140;1
156;1
164;1
181;1
191;1
198;1
266;1
294;1
540;1
1;596
2;144
3;78
4;48
5;43
6;17
7;21
8;12
9;6
10;7
11;4
12;10
13;3
14;4
15;3
17;2
18;1
19;1
20;3
21;1
22;3
23;3
24;1
25;1
27;1
29;2
30;3
33;1
34;1
35;1
38;3
39;1
41;1
43;1
45;1
46;1
47;1
49;1
51;1
61;1
67;1
69;1
70;1
79;2
83;1
85;1
93;1
98;1
99;1
120;1
125;1
130;1
145;1
149;1
159;1
172;1
178;1
218;1
236;1
340;1
846;1
1;687
2;149
3;86
4;58
5;23
6;20
7;22
8;15
9;17
10;6
11;10
12;8
13;10
14;7
15;5
16;2
17;1
18;5
19;1
20;4
21;3
22;4
24;3
25;1
27;1
28;2
29;1
30;3
32;1
33;1
34;2
35;3
36;1
42;2
43;2
48;1
49;2
50;1
52;1
54;1
56;1
58;1
62;1
65;1
67;1
69;1
70;2
76;1
77;1
87;1
92;1
98;1
120;1
129;1
130;1
149;1
150;1
232;1
300;1
322;1
1;650
2;154
3;87
4;65
5;40
6;27
7;19
8;9
9;12
10;10
11;9
12;4
14;1
15;4
16;5
17;2
19;2
20;4
21;2
22;1
23;1
24;3
25;1
26;1
27;3
29;1
31;1
33;1
38;1
40;1
42;1
43;2
44;1
55;1
59;1
65;1
69;2
77;1
89;1
96;1
97;1
120;1
137;1
142;1
193;1
202;1
233;1
387;1
469;1
867;1
1;615
2;122
3;63
4;38
5;26
6;12
7;15
8;11
9;9
10;12
11;5
12;3
13;2
14;4
15;5
16;1
17;7
18;3
19;2
20;2
21;3
22;2
24;5
25;1
26;2
27;1
28;3
29;1
30;1
32;1
34;1
38;1
39;1
40;1
50;1
51;1
59;1
61;1
63;1
70;1
72;1
73;1
86;1
91;1
96;2
97;1
103;1
107;1
124;1
142;1
148;1
149;1
176;1
217;1
229;1
238;1
244;1
379;1
879;1
1;656
2;149
3;85
4;47
5;28
6;28
7;14
8;10
9;8
10;8
11;6
12;8
13;4
14;5
15;5
16;5
17;5
18;5
19;3
20;1
21;5
22;7
23;2
24;1
25;1
26;1
27;1
28;2
29;1
30;4
32;2
34;2
35;1
37;1
39;1
41;1
42;2
47;1
48;1
56;1
60;1
64;1
70;1
72;1
75;1
80;2
88;1
90;1
91;1
95;2
99;1
102;1
104;1
105;1
114;1
122;1
136;1
140;1
142;1
156;1
157;1
178;1
192;1
202;1
1;665
2;151
3;73
4;44
5;41
6;14
7;19
8;10
9;13
10;6
11;9
12;8
13;6
14;3
15;2
16;5
17;5
18;3
19;3
21;1
22;1
23;1
24;2
25;1
26;2
27;1
28;1
29;2
30;1
35;3
36;1
37;1
38;2
39;2
40;1
41;2
42;2
47;1
51;1
53;1
61;1
67;1
71;2
76;1
80;2
82;1
84;1
90;1
91;2
92;1
105;1
116;1
117;1
138;1
164;1
238;1
248;1
264;1
322;1
354;1
1;722
2;174
3;90
4;44
5;31
6;19
7;18
8;12
9;13
10;8
11;7
12;8
13;2
14;5
15;6
16;2
17;5
18;1
19;3
20;2
21;5
22;1
23;3
24;1
25;2
26;3
28;2
29;2
30;3
31;1
32;1
33;1
34;1
36;1
37;2
39;1
40;1
45;2
46;1
48;1
51;1
53;1
67;1
68;2
69;1
72;1
77;1
79;1
90;1
92;1
94;1
98;2
100;1
115;1
128;1
135;1
175;1
220;1
255;1
406;1
1;618
2;149
3;86
4;50
5;34
6;25
